origem,destino,n_casas
0,71,4
0,72,3
1,2,0
1,15,6
1,95,9
2,18,9
3,4,8
3,6,12
4,5,10
4,7,8
5,8,8
5,26,7
6,7,13
6,9,10
7,8,10
7,10,8
8,29,7
9,10,13
9,95,9
10,11,17
10,12,9
11,14,7
11,29,7
11,32,10
12,13,9
12,15,14
12,95,17
13,14,9
13,16,13
14,17,17
14,34,10
15,16,9
15,18,5
16,17,15
17,19,5
17,36,16
18,19,28
18,21,17
19,22,18
20,21,10
20,23,10
21,22,34
21,24,13
22,25,10
22,38,27
23,24,8
24,25,34
25,40,21
26,27,14
26,29,10
27,28,1
27,42,4
28,31,9
28,43,2
29,30,12
30,31,8
30,32,6
31,33,6
31,45,10
32,33,6
32,34,8
33,35,7
33,47,7
34,35,8
34,36,18
35,37,16
35,49,13
36,37,4
36,38,19
37,39,11
37,51,7
38,39,8
38,40,7
39,41,6
39,53,10
40,41,10
41,55,9
42,43,14
43,44,8
43,45,7
44,46,9
44,56,12
44,57,25
45,46,7
45,47,7
46,48,8
46,58,9
47,48,7
47,49,9
48,50,9
48,59,4
49,50,8
49,51,17
50,52,16
50,61,5
51,52,8
51,53,9
52,54,8
52,64,6
53,54,10
53,55,10
54,65,5
55,66,8
56,69,20
57,69,7
57,70,8
57,94,2
58,59,5
58,94,8
59,61,4
60,63,4
60,72,5
60,94,4
61,62,2
62,63,7
62,64,15
63,73,8
63,75,21
64,65,13
64,75,17
65,66,7
65,76,22
66,67,1
68,70,19
70,71,7
70,80,8
71,82,7
71,94,8
72,73,8
72,84,6
73,74,10
73,86,5
74,75,4
74,89,1
75,76,3
76,77,3
77,77,0
77,90,3
77,93,15
78,79,15
78,80,11
79,81,6
80,81,24
80,82,7
81,83,1
82,83,21
82,84,8
83,85,5
84,85,20
84,86,8
85,88,7
86,87,4
86,89,20
87,88,10
87,91,23
88,92,23
89,90,3
90,91,7
91,92,10
92,93,6
