id,lat,lon
1,-21.61350631713866,-45.57156753540039
2,-21.612705230712894,-45.57474899291992
3,-21.612203598022468,-45.57191467285157
4,-21.612144470214837,-45.57151412963867
5,-21.61163520812989,-45.571590423583984
6,-21.611549377441413,-45.575531005859375
7,-21.611488342285156,-45.570796966552734
8,-21.61108779907229,-45.57526779174805
9,-21.611005783081087,-45.57167053222656
10,-21.610895156860366,-45.5709228515625
11,-21.610515594482482,-45.57597732543945
12,-21.610517501831062,-45.57176208496094
13,-21.609870910644563,-45.57612609863281
14,-21.60984230041503,-45.571868896484375
15,-21.608854293823242,-45.573490142822266
16,-21.608716964721665,-45.5720443725586
17,-21.60864830017091,-45.5709571838379
18,-21.608621597290043,-45.576297760009766
19,-21.608272552490217,-45.5721435546875
20,-21.608203887939467,-45.5715217590332
21,-21.607519149780277,-45.571075439453125
22,-21.606529235839822,-45.57244873046875
23,-21.60608863830566,-45.57161331176758
24,-21.615608215332053,-45.56913375854492
25,-21.615350723266587,-45.56962585449219
26,-21.613752365112315,-45.56923294067383
27,-21.612567901611342,-45.570457458496094
28,-21.612552642822287,-45.568668365478516
29,-21.612424850463857,-45.56987380981445
30,-21.61229133605961,-45.56919860839844
31,-21.611749649047887,-45.56805419921875
32,-21.611639022827138,-45.56820297241212
33,-21.611621856689442,-45.56805419921875
34,-21.611242294311538,-45.56937789916992
35,-21.61110877990724,-45.56840896606445
36,-21.610649108886705,-45.56902313232422
37,-21.610237121582056,-45.56973648071289
38,-21.610160827636715,-45.56911849975586
39,-21.60945510864259,-45.569759368896484
40,-21.609062194824226,-45.56930160522461
41,-21.60851287841797,-45.569393157958984
42,-21.60837936401369,-45.56806182861328
43,-21.607948303222624,-45.56858444213867
44,-21.607831954956076,-45.57057189941406
45,-21.60741424560548,-45.570648193359375
46,-21.607185363769517,-45.56962966918945
47,-21.604024887084986,-45.5688705444336
48,-21.612127304077134,-45.566795349121094
49,-21.61199188232422,-45.56786346435547
50,-21.611917495727536,-45.566802978515625
51,-21.61167526245115,-45.56751251220703
52,-21.61160469055178,-45.567909240722656
53,-21.611539840698264,-45.56754684448243
54,-21.611513137817383,-45.56733703613281
55,-21.611417770385742,-45.566856384277344
56,-21.6110553741455,-45.56793975830078
57,-21.60977935791019,-45.566497802734375
58,-21.60885238647458,-45.56642532348633
59,-21.608339309692386,-45.56749725341797
60,-21.608272552490227,-45.566898345947266
61,-21.607856750488292,-45.56660842895508
62,-21.606594085693356,-45.56682205200195
63,-21.60553932189941,-45.567626953125
64,-21.612707138061527,-45.565433502197266
65,-21.611709594726584,-45.56558609008789
66,-21.611251831054695,-45.5656623840332
67,-21.61084938049318,-45.56632614135742
68,-21.610771179199237,-45.56571578979492
69,-21.61029624938966,-45.566429138183594
70,-21.610147476196264,-45.56565475463867
71,-21.609764099121087,-45.566368103027344
72,-21.609752655029347,-45.56628799438477
73,-21.609651565551754,-45.56560516357422
74,-21.609590530395504,-45.565067291259766
75,-21.608669281005895,-45.565303802490234
76,-21.608665466308583,-45.565494537353516
77,-21.608146667480504,-45.565433502197266
78,-21.607540130615217,-45.566001892089844
79,-21.60749244689939,-45.5653305053711
80,-21.60630226135256,-45.56511306762695
81,-21.60241317749025,-45.565242767333984
82,-21.615854263305682,-45.564552307128906
83,-21.61527061462401,-45.56389617919922
84,-21.613061904907212,-45.5647087097168
85,-21.61284446716311,-45.564239501953125
86,-21.611970901489254,-45.56486129760742
87,-21.611679077148395,-45.56439208984375
88,-21.611557006835916,-45.5634651184082
89,-21.611158370971665,-45.5649757385254
90,-21.611083984374986,-45.564456939697266
91,-21.6110248565674,-45.560794830322266
92,-21.610483169555692,-45.56026458740235
93,-21.610393524169915,-45.563201904296875
94,-21.60985946655276,-45.563289642333984
95,-21.609552383422855,-45.56464767456055
96,-21.609512329101555,-45.56428909301758
97,-21.609460830688473,-45.56380844116211
98,-21.608705520629886,-45.56476593017578
99,-21.608686447143533,-45.56500244140625
100,-21.608541488647496,-45.564781188964844
101,-21.60849761962893,-45.564388275146484
102,-21.60843086242675,-45.56494903564453
103,-21.608421325683587,-45.56480407714844
104,-21.60829925537109,-45.56269454956055
105,-21.60810279846189,-45.56485366821289
106,-21.607641220092766,-45.562950134277344
107,-21.60662078857421,-45.56464767456055
108,-21.606184005737315,-45.56424331665039
