order,vertex
0,72
1,0
2,72
3,84
4,86
5,89
6,74
7,89
8,90
9,91
10,92
11,91
12,87
13,86
14,73
15,86
16,87
17,88
18,85
19,84
20,82
21,83
22,81
23,83
24,85
25,88
26,92
27,93
28,77
29,90
30,77
31,76
32,65
33,76
34,75
35,74
36,73
37,63
38,75
39,64
40,65
41,54
42,65
43,66
44,67
45,66
46,55
47,41
48,55
49,53
50,54
51,52
52,64
53,62
54,61
55,62
56,63
57,73
58,72
59,60
60,63
61,60
62,94
63,58
64,59
65,48
66,59
67,61
68,50
69,52
70,51
71,53
72,39
73,41
74,40
75,25
76,40
77,38
78,39
79,37
80,51
81,49
82,50
83,48
84,47
85,48
86,46
87,58
88,94
89,57
90,94
91,71
92,82
93,80
94,81
95,79
96,78
97,80
98,70
99,68
100,70
101,57
102,69
103,56
104,44
105,46
106,45
107,47
108,33
109,47
110,49
111,35
112,37
113,36
114,38
115,22
116,25
117,24
118,21
119,24
120,23
121,20
122,21
123,18
124,21
125,22
126,19
127,18
128,19
129,17
130,36
131,34
132,35
133,33
134,32
135,30
136,32
137,33
138,31
139,45
140,43
141,42
142,27
143,28
144,31
145,30
146,29
147,11
148,32
149,34
150,14
151,17
152,16
153,13
154,16
155,15
156,12
157,13
158,14
159,11
160,10
161,12
162,95
163,1
164,15
165,18
166,2
167,1
168,95
169,9
170,6
171,9
172,10
173,7
174,8
175,29
176,26
177,5
178,8
179,7
180,4
181,7
182,6
183,3
184,4
185,5
186,26
187,27
188,28
189,43
190,44
191,57
192,70
193,71
