u,v,path_vertices,path_edges
74,89,"[74, 89]",74-89
27,28,"[27, 28]",27-28
66,67,"[66, 67]",66-67
61,62,"[61, 62]",61-62
81,83,"[81, 83]",81-83
77,90,"[77, 90]",77-90
58,68,"[58, 94, 57, 70, 68]",58-94;94-57;57-70;70-68
5,26,"[5, 26]",5-26
85,88,"[85, 88]",85-88
9,6,"[9, 6]",9-6
41,55,"[41, 55]",41-55
91,92,"[91, 92]",91-92
13,16,"[13, 16]",13-16
59,30,"[59, 48, 47, 33, 32, 30]",59-48;48-47;47-33;33-32;32-30
25,40,"[25, 40]",25-40
8,4,"[8, 7, 4]",8-7;7-4
60,87,"[60, 63, 73, 86, 87]",60-63;63-73;73-86;86-87
54,76,"[54, 65, 76]",54-65;65-76
95,1,"[95, 1]",95-1
19,24,"[19, 18, 21, 24]",19-18;18-21;21-24
